id,talk_time,talk_charge,sms,sms_charge,total_charge,plan
1406,54,1623,8,0.4,1655.4,PlanB
1407,15,453,304,15.2,504.2,PlanB
1408,89,2671,982,49.1,2766.1,PlanB
1409,96,2881,710,35.5,2952.5,PlanB
1410,14,423,989,49.45,474.45,PlanB
1411,13,395,54,2.7,430.7,PlanB
1412,34,1023,57,2.85,1072.85,PlanB
1413,6,183,122,6.1,197.1,PlanB
1414,22,663,589,29.45,731.45,PlanB
1415,89,2671,521,26.05,2709.05,PlanB
1416,72,2163,944,47.2,2235.2,PlanB
1417,47,1411,973,48.65,1494.65,PlanB
1418,22,662,69,3.45,709.45,PlanB
1419,35,1054,721,36.05,1101.05,PlanB
1420,15,455,556,27.8,529.8,PlanB
1421,38,1141,609,30.45,1184.45,PlanB
1422,3,94,513,25.65,161.65,PlanB
1423,69,2074,545,27.25,2118.25,PlanB
1424,56,1682,67,3.35,1732.35,PlanB
1425,58,1745,144,7.2,1772.2,PlanB
1426,60,1803,648,32.4,1880.4,PlanB
1427,24,721,673,33.65,798.65,PlanB
1428,3,94,307,15.35,143.35,PlanB
1429,16,483,645,32.25,527.25,PlanB
1430,60,1804,652,32.6,1871.6,PlanB
1431,93,2791,346,17.3,2834.3,PlanB
1432,38,1141,365,18.25,1163.25,PlanB
1433,74,2223,409,20.45,2257.45,PlanB
1434,73,2194,339,16.95,2258.95,PlanB
1435,60,1805,373,18.65,1854.65,PlanB
1436,57,1714,184,9.2,1763.2,PlanB
1437,42,1262,826,41.3,1307.3,PlanB
1438,98,2942,771,38.55,3015.55,PlanB
1439,100,3001,437,21.85,3068.85,PlanB
1440,28,845,414,20.7,893.7,PlanB
1441,75,2252,84,4.2,2303.2,PlanB
1442,87,2615,623,31.15,2649.15,PlanB
1443,43,1291,610,30.5,1361.5,PlanB
1444,88,2644,690,34.5,2711.5,PlanB
1445,22,665,652,32.6,736.6,PlanB
1446,2,64,296,14.8,95.8,PlanB
1447,53,1595,646,32.3,1654.3,PlanB
1448,16,484,95,4.75,506.75,PlanB
1449,53,1592,57,2.85,1613.85,PlanB
1450,96,2882,167,8.35,2902.35,PlanB
1451,23,693,264,13.2,709.2,PlanB
1452,72,2163,670,33.5,2245.5,PlanB
1453,80,2402,528,26.4,2430.4,PlanB
1454,86,2585,187,9.35,2609.35,PlanB
1455,12,364,21,1.05,389.05,PlanB
1456,71,2134,807,40.35,2204.35,PlanB
1457,26,785,753,37.65,829.65,PlanB
1458,43,1292,522,26.1,1337.1,PlanB
1459,16,484,347,17.35,550.35,PlanB
1460,47,1411,180,9,1423,PlanB
1461,38,1142,315,15.75,1168.75,PlanB
1462,75,2253,81,4.05,2281.05,PlanB
1463,50,1504,903,45.15,1589.15,PlanB
1464,81,2434,968,48.4,2487.4,PlanB
1465,61,1831,44,2.2,1843.2,PlanB
1466,26,784,967,48.35,836.35,PlanB
1467,83,2495,300,15,2519,PlanB
1468,91,2731,894,44.7,2820.7,PlanB
1469,76,2284,558,27.9,2318.9,PlanB
1470,6,181,635,31.75,223.75,PlanB
1471,18,545,219,10.95,581.95,PlanB
1472,74,2225,100,5,2262,PlanB
1473,54,1623,787,39.35,1668.35,PlanB
1474,52,1564,784,39.2,1616.2,PlanB
1475,38,1145,498,24.9,1170.9,PlanB
1476,65,1955,185,9.25,1981.25,PlanB
1477,82,2464,219,10.95,2498.95,PlanB
1478,94,2825,740,37,2868,PlanB
1479,94,2822,818,40.9,2907.9,PlanB
1480,100,3004,667,33.35,3056.35,PlanB
1481,53,1591,394,19.7,1625.7,PlanB
1482,31,932,433,21.65,972.65,PlanB
1483,100,3001,183,9.15,3021.15,PlanB
1484,75,2254,247,12.35,2274.35,PlanB
1485,43,1295,853,42.65,1343.65,PlanB
1486,95,2851,51,2.55,2857.55,PlanB
1487,3,94,98,4.9,110.9,PlanB
1488,46,1381,818,40.9,1467.9,PlanB
1489,54,1624,91,4.55,1672.55,PlanB
1490,68,2043,323,16.15,2080.15,PlanB
1491,96,2882,536,26.8,2931.8,PlanB
1492,32,964,437,21.85,997.85,PlanB
1493,89,2671,197,9.85,2727.85,PlanB
1494,4,124,559,27.95,199.95,PlanB
1495,4,123,170,8.5,156.5,PlanB
1496,96,2885,878,43.9,2944.9,PlanB
1497,33,992,364,18.2,1055.2,PlanB
1498,28,842,725,36.25,924.25,PlanB
1499,77,2312,435,21.75,2379.75,PlanB
1500,35,1052,384,19.2,1115.2,PlanB
1501,36,1083,909,45.45,1139.45,PlanB
1502,48,1441,593,29.65,1501.65,PlanB
1503,26,784,541,27.05,841.05,PlanB
1504,80,2403,183,9.15,2451.15,PlanB
1505,92,2761,157,7.85,2799.85,PlanB
1506,52,1562,204,10.2,1584.2,PlanB
1507,26,781,371,18.55,825.55,PlanB
1508,64,1923,933,46.65,1978.65,PlanB
1509,70,2102,361,18.05,2139.05,PlanB
1510,61,1835,261,13.05,1862.05,PlanB
1511,7,212,297,14.85,236.85,PlanB
1512,96,2883,113,5.65,2891.65,PlanB
1513,24,722,985,49.25,791.25,PlanB
1514,72,2161,430,21.5,2194.5,PlanB
1515,100,3001,972,48.6,3078.6,PlanB
1516,32,964,412,20.6,1014.6,PlanB
1517,41,1235,332,16.6,1265.6,PlanB
1518,87,2614,979,48.95,2700.95,PlanB
1519,17,512,540,27,546,PlanB
1520,35,1051,359,17.95,1074.95,PlanB
1521,96,2881,922,46.1,2963.1,PlanB
1522,51,1535,789,39.45,1585.45,PlanB
1523,31,931,91,4.55,936.55,PlanB
1524,9,275,623,31.15,307.15,PlanB
1525,94,2823,750,37.5,2866.5,PlanB
1526,84,2524,563,28.15,2594.15,PlanB
1527,62,1864,567,28.35,1925.35,PlanB
1528,1,35,618,30.9,100.9,PlanB
1529,64,1921,677,33.85,1994.85,PlanB
1530,18,543,890,44.5,607.5,PlanB
1531,31,931,938,46.9,1010.9,PlanB
1532,78,2342,616,30.8,2394.8,PlanB
1533,1,33,110,5.5,87.5,PlanB
1534,31,933,164,8.2,964.2,PlanB
1535,72,2161,732,36.6,2215.6,PlanB
1536,17,515,428,21.4,555.4,PlanB
1537,65,1955,635,31.75,2035.75,PlanB
1538,83,2495,187,9.35,2521.35,PlanB
1539,38,1145,612,30.6,1205.6,PlanB
1540,95,2854,112,5.6,2883.6,PlanB
1541,97,2911,976,48.8,2964.8,PlanB
1542,64,1924,942,47.1,1992.1,PlanB
1543,16,485,171,8.55,506.55,PlanB
1544,88,2641,5,0.25,2645.25,PlanB
1545,77,2315,629,31.45,2394.45,PlanB
1546,69,2071,361,18.05,2120.05,PlanB
1547,6,184,492,24.6,227.6,PlanB
1548,41,1231,213,10.65,1258.65,PlanB
1549,48,1443,485,24.25,1494.25,PlanB
1550,6,184,248,12.4,227.4,PlanB
1551,11,332,199,9.95,350.95,PlanB
1552,61,1834,167,8.35,1855.35,PlanB
1553,17,515,365,18.25,552.25,PlanB
1554,63,1893,43,2.15,1936.15,PlanB
1555,29,874,81,4.05,883.05,PlanB
1556,35,1053,431,21.55,1099.55,PlanB
1557,1,31,470,23.5,72.5,PlanB
1558,88,2643,940,47,2740,PlanB
1559,34,1021,665,33.25,1078.25,PlanB
1560,98,2944,71,3.55,2988.55,PlanB
1561,13,393,538,26.9,447.9,PlanB
1562,71,2135,687,34.35,2203.35,PlanB
1563,19,571,881,44.05,652.05,PlanB
1564,6,185,46,2.3,227.3,PlanB
1565,73,2195,908,45.4,2271.4,PlanB
1566,26,781,154,7.7,799.7,PlanB
1567,61,1832,302,15.1,1888.1,PlanB
1568,33,995,819,40.95,1054.95,PlanB
1569,61,1831,40,2,1877,PlanB
1570,21,635,814,40.7,696.7,PlanB
1571,62,1862,490,24.5,1913.5,PlanB
1572,91,2733,521,26.05,2764.05,PlanB
1573,80,2402,748,37.4,2461.4,PlanB
1574,38,1144,941,47.05,1223.05,PlanB
1575,58,1745,329,16.45,1773.45,PlanB
1576,52,1562,957,47.85,1618.85,PlanB
1577,74,2221,330,16.5,2249.5,PlanB
1578,82,2464,391,19.55,2523.55,PlanB
1579,23,691,687,34.35,748.35,PlanB
1580,43,1294,422,21.1,1326.1,PlanB
1581,50,1504,964,48.2,1574.2,PlanB
1582,20,604,498,24.9,668.9,PlanB
1583,72,2164,117,5.85,2204.85,PlanB
1584,44,1325,3,0.15,1329.15,PlanB
1585,56,1685,400,20,1727,PlanB
1586,81,2431,218,10.9,2483.9,PlanB
1587,31,932,607,30.35,968.35,PlanB
1588,67,2015,134,6.7,2043.7,PlanB
1589,41,1232,525,26.25,1264.25,PlanB
1590,83,2491,823,41.15,2575.15,PlanB
1591,26,781,252,12.6,817.6,PlanB
1592,11,332,657,32.85,376.85,PlanB
1593,87,2614,59,2.95,2665.95,PlanB
1594,31,933,573,28.65,1007.65,PlanB
1595,52,1564,345,17.25,1587.25,PlanB
1596,18,544,661,33.05,621.05,PlanB
1597,34,1024,717,35.85,1067.85,PlanB
1598,11,334,237,11.85,374.85,PlanB
1599,55,1653,725,36.25,1736.25,PlanB
1600,41,1234,200,10,1294,PlanB
1601,33,995,945,47.25,1046.25,PlanB
1602,78,2341,913,45.65,2394.65,PlanB
1603,7,213,148,7.4,228.4,PlanB
1604,12,365,349,17.45,406.45,PlanB
1605,75,2251,885,44.25,2343.25,PlanB
1606,98,2942,677,33.85,2985.85,PlanB
1607,61,1834,439,21.95,1895.95,PlanB
1608,81,2431,773,38.65,2505.65,PlanB
1609,54,1625,95,4.75,1661.75,PlanB
1610,70,2103,289,14.45,2146.45,PlanB
1611,61,1834,815,40.75,1883.75,PlanB
1612,11,332,523,26.15,376.15,PlanB
1613,77,2314,815,40.75,2361.75,PlanB
1614,80,2402,327,16.35,2420.35,PlanB
1615,38,1145,764,38.2,1193.2,PlanB
1616,100,3003,274,13.7,3022.7,PlanB
1617,27,813,203,10.15,865.15,PlanB
1618,85,2555,594,29.7,2614.7,PlanB
1619,25,752,465,23.25,778.25,PlanB
1620,34,1023,334,16.7,1078.7,PlanB
1621,51,1531,350,17.5,1552.5,PlanB
1622,85,2551,453,22.65,2592.65,PlanB
1623,10,302,739,36.95,364.95,PlanB
1624,80,2403,776,38.8,2490.8,PlanB
1625,45,1351,592,29.6,1408.6,PlanB
1626,93,2791,399,19.95,2821.95,PlanB
1627,35,1051,608,30.4,1131.4,PlanB
1628,65,1953,885,44.25,2024.25,PlanB
1629,32,963,355,17.75,1024.75,PlanB
1630,93,2792,504,25.2,2831.2,PlanB
1631,36,1081,696,34.8,1164.8,PlanB
1632,6,181,370,18.5,230.5,PlanB
1633,39,1171,721,36.05,1213.05,PlanB
1634,52,1562,544,27.2,1605.2,PlanB
1635,59,1775,304,15.2,1818.2,PlanB
1636,86,2584,86,4.3,2613.3,PlanB
1637,44,1323,831,41.55,1377.55,PlanB
1638,1,35,990,49.5,130.5,PlanB
1639,21,631,273,13.65,651.65,PlanB
1640,90,2702,192,9.6,2744.6,PlanB
1641,14,425,940,47,473,PlanB
1642,76,2282,335,16.75,2304.75,PlanB
1643,97,2913,753,37.65,2992.65,PlanB
1644,100,3004,242,12.1,3066.1,PlanB
1645,3,94,884,44.2,155.2,PlanB
1646,2,61,215,10.75,119.75,PlanB
1647,39,1175,496,24.8,1205.8,PlanB
1648,95,2853,430,21.5,2882.5,PlanB
1649,7,211,164,8.2,251.2,PlanB
1650,63,1892,965,48.25,1950.25,PlanB
1651,88,2645,313,15.65,2669.65,PlanB
1652,6,185,777,38.85,254.85,PlanB
1653,8,241,697,34.85,319.85,PlanB
1654,84,2522,707,35.35,2575.35,PlanB
1655,56,1682,202,10.1,1722.1,PlanB
1656,10,302,819,40.95,363.95,PlanB
1657,28,842,182,9.1,869.1,PlanB
1658,95,2853,635,31.75,2927.75,PlanB
1659,31,935,802,40.1,977.1,PlanB
1660,7,213,536,26.8,282.8,PlanB
1661,67,2015,150,7.5,2038.5,PlanB
1662,95,2853,703,35.15,2905.15,PlanB
1663,51,1534,360,18,1570,PlanB
1664,41,1231,309,15.45,1281.45,PlanB
1665,52,1563,558,27.9,1604.9,PlanB
1666,69,2074,816,40.8,2118.8,PlanB
1667,39,1175,586,29.3,1232.3,PlanB
1668,66,1983,952,47.6,2053.6,PlanB
1669,61,1831,516,25.8,1884.8,PlanB
1670,70,2103,240,12,2125,PlanB
1671,88,2645,273,13.65,2663.65,PlanB
1672,4,122,486,24.3,190.3,PlanB
1673,10,305,265,13.25,325.25,PlanB
1674,7,212,861,43.05,278.05,PlanB
1675,43,1292,438,21.9,1354.9,PlanB
1676,74,2221,763,38.15,2296.15,PlanB
1677,19,575,298,14.9,629.9,PlanB
1678,5,155,956,47.8,220.8,PlanB
1679,88,2643,198,9.9,2688.9,PlanB
1680,2,61,649,32.45,127.45,PlanB
1681,85,2551,533,26.65,2593.65,PlanB
1682,55,1653,624,31.2,1730.2,PlanB
1683,51,1532,925,46.25,1598.25,PlanB
1684,29,872,915,45.75,929.75,PlanB
1685,65,1952,724,36.2,2006.2,PlanB
1686,55,1653,867,43.35,1742.35,PlanB
1687,5,152,738,36.9,226.9,PlanB
1688,34,1025,417,20.85,1063.85,PlanB
1689,66,1983,750,37.5,2054.5,PlanB
1690,95,2852,693,34.65,2927.65,PlanB
1691,73,2192,919,45.95,2248.95,PlanB
1692,93,2794,518,25.9,2846.9,PlanB
1693,73,2191,177,8.85,2242.85,PlanB
1694,100,3003,807,40.35,3050.35,PlanB
1695,77,2313,559,27.95,2341.95,PlanB
1696,50,1501,507,25.35,1558.35,PlanB
1697,75,2254,629,31.45,2306.45,PlanB
1698,17,515,484,24.2,577.2,PlanB
1699,68,2041,935,46.75,2101.75,PlanB
1700,32,965,251,12.55,1014.55,PlanB
1701,51,1535,600,30,1582,PlanB
1702,72,2161,122,6.1,2178.1,PlanB
1703,30,902,964,48.2,981.2,PlanB
1704,30,905,751,37.55,950.55,PlanB
1705,66,1985,188,9.4,1998.4,PlanB
1706,44,1321,914,45.7,1367.7,PlanB
1707,69,2073,535,26.75,2114.75,PlanB
1708,92,2761,198,9.9,2779.9,PlanB
1709,93,2794,508,25.4,2831.4,PlanB
1710,18,541,494,24.7,611.7,PlanB
1711,58,1742,192,9.6,1763.6,PlanB
1712,60,1802,893,44.65,1891.65,PlanB
1713,23,692,556,27.8,750.8,PlanB
1714,47,1411,637,31.85,1447.85,PlanB
1715,37,1115,662,33.1,1195.1,PlanB
1716,38,1145,365,18.25,1212.25,PlanB
1717,16,483,691,34.55,536.55,PlanB
1718,25,751,506,25.3,811.3,PlanB
1719,80,2404,985,49.25,2491.25,PlanB
1720,29,872,912,45.6,944.6,PlanB
1721,36,1083,591,29.55,1156.55,PlanB
1722,75,2255,987,49.35,2335.35,PlanB
1723,67,2011,557,27.85,2047.85,PlanB
1724,72,2162,377,18.85,2206.85,PlanB
1725,100,3005,534,26.7,3041.7,PlanB
1726,4,124,645,32.25,180.25,PlanB
1727,30,905,859,42.95,963.95,PlanB
1728,41,1232,636,31.8,1264.8,PlanB
1729,9,275,88,4.4,291.4,PlanB
1730,93,2791,347,17.35,2855.35,PlanB
1731,39,1174,365,18.25,1237.25,PlanB
1732,53,1592,965,48.25,1645.25,PlanB
1733,68,2042,813,40.65,2105.65,PlanB
1734,15,454,784,39.2,499.2,PlanB
1735,45,1354,295,14.75,1393.75,PlanB
1736,96,2881,983,49.15,2948.15,PlanB
1737,18,544,614,30.7,616.7,PlanB
1738,82,2465,593,29.65,2524.65,PlanB
1739,7,214,572,28.6,259.6,PlanB
1740,96,2881,516,25.8,2932.8,PlanB
1741,37,1113,482,24.1,1158.1,PlanB
1742,17,512,432,21.6,558.6,PlanB
1743,89,2675,956,47.8,2736.8,PlanB
1744,10,303,718,35.9,345.9,PlanB
1745,83,2492,213,10.65,2515.65,PlanB
1746,77,2314,659,32.95,2359.95,PlanB
1747,83,2492,562,28.1,2524.1,PlanB
1748,28,845,612,30.6,898.6,PlanB
1749,32,962,662,33.1,1005.1,PlanB
1750,2,61,118,5.9,100.9,PlanB
1751,43,1295,433,21.65,1333.65,PlanB
1752,39,1174,465,23.25,1232.25,PlanB
1753,87,2612,140,7,2650,PlanB
1754,68,2045,214,10.7,2067.7,PlanB
1755,9,273,741,37.05,351.05,PlanB
1756,84,2523,328,16.4,2574.4,PlanB
1757,49,1471,449,22.45,1543.45,PlanB
1758,100,3005,322,16.1,3056.1,PlanB
1759,39,1171,138,6.9,1226.9,PlanB
1760,54,1621,218,10.9,1665.9,PlanB
1761,87,2613,266,13.3,2627.3,PlanB
1762,25,752,228,11.4,781.4,PlanB
1763,41,1232,97,4.85,1266.85,PlanB
1764,96,2881,885,44.25,2970.25,PlanB
1765,58,1742,797,39.85,1793.85,PlanB
1766,54,1623,945,47.25,1720.25,PlanB
1767,87,2611,869,43.45,2687.45,PlanB
1768,89,2671,609,30.45,2707.45,PlanB
1769,30,905,91,4.55,931.55,PlanB
1770,64,1924,771,38.55,1991.55,PlanB
1771,11,334,900,45,420,PlanB
1772,79,2373,897,44.85,2428.85,PlanB
1773,80,2404,939,46.95,2483.95,PlanB
1774,39,1174,761,38.05,1222.05,PlanB
1775,6,182,875,43.75,233.75,PlanB
1776,48,1445,615,30.75,1491.75,PlanB
1777,78,2341,453,22.65,2386.65,PlanB
1778,30,901,938,46.9,981.9,PlanB
1779,62,1865,221,11.05,1906.05,PlanB
1780,19,574,369,18.45,604.45,PlanB
1781,54,1623,995,49.75,1674.75,PlanB
1782,10,302,222,11.1,346.1,PlanB
1783,4,121,499,24.95,155.95,PlanB
1784,100,3001,144,7.2,3035.2,PlanB
1785,52,1562,790,39.5,1610.5,PlanB
1786,27,812,354,17.7,857.7,PlanB
1787,95,2851,726,36.3,2890.3,PlanB
1788,54,1623,66,3.3,1638.3,PlanB
1789,4,121,413,20.65,164.65,PlanB
1790,12,362,691,34.55,399.55,PlanB
1791,28,844,588,29.4,912.4,PlanB
1792,81,2433,235,11.75,2466.75,PlanB
1793,58,1745,790,39.5,1829.5,PlanB
1794,73,2191,17,0.85,2207.85,PlanB
1795,79,2371,895,44.75,2420.75,PlanB
1796,47,1414,741,37.05,1480.05,PlanB
1797,78,2344,303,15.15,2409.15,PlanB
1798,93,2795,237,11.85,2807.85,PlanB
1799,32,961,733,36.65,1045.65,PlanB
1800,23,693,144,7.2,702.2,PlanB
1801,63,1891,499,24.95,1959.95,PlanB
1802,62,1861,628,31.4,1914.4,PlanB
1803,51,1533,1,0.05,1560.05,PlanB
1804,66,1982,111,5.55,2000.55,PlanB
1805,97,2915,284,14.2,2961.2,PlanB
1806,56,1681,95,4.75,1712.75,PlanB
1807,17,515,778,38.9,592.9,PlanB
1808,20,601,156,7.8,624.8,PlanB
1809,33,992,633,31.65,1029.65,PlanB
1810,48,1443,594,29.7,1473.7,PlanB
1811,95,2854,761,38.05,2937.05,PlanB
1812,12,364,12,0.6,409.6,PlanB
1813,70,2102,170,8.5,2157.5,PlanB
1814,64,1925,173,8.65,1945.65,PlanB
1815,3,93,653,32.65,146.65,PlanB
1816,19,575,647,32.35,627.35,PlanB
1817,32,963,434,21.7,1016.7,PlanB
1818,36,1084,126,6.3,1100.3,PlanB
1819,30,905,188,9.4,926.4,PlanB
1820,65,1953,44,2.2,2003.2,PlanB
1821,92,2762,179,8.95,2799.95,PlanB
1822,72,2162,987,49.35,2218.35,PlanB
1823,9,273,189,9.45,296.45,PlanB
1824,24,725,561,28.05,756.05,PlanB
1825,13,393,824,41.2,484.2,PlanB
1826,81,2433,204,10.2,2487.2,PlanB
1827,98,2944,333,16.65,2997.65,PlanB
1828,66,1984,71,3.55,2017.55,PlanB
1829,60,1804,511,25.55,1871.55,PlanB
1830,39,1173,631,31.55,1225.55,PlanB
1831,88,2645,638,31.9,2704.9,PlanB
1832,67,2014,721,36.05,2095.05,PlanB
1833,49,1475,706,35.3,1529.3,PlanB
1834,69,2072,233,11.65,2115.65,PlanB
1835,65,1951,635,31.75,2022.75,PlanB
1836,45,1355,555,27.75,1385.75,PlanB
1837,53,1592,600,30,1640,PlanB
1838,57,1713,746,37.3,1774.3,PlanB
1839,24,723,186,9.3,769.3,PlanB
1840,19,572,237,11.85,592.85,PlanB
1841,80,2402,755,37.75,2451.75,PlanB
1842,4,124,438,21.9,164.9,PlanB
1843,58,1741,668,33.4,1816.4,PlanB
1844,36,1082,379,18.95,1106.95,PlanB
1845,12,365,423,21.15,391.15,PlanB
1846,34,1025,323,16.15,1078.15,PlanB
1847,16,483,414,20.7,537.7,PlanB
1848,48,1445,813,40.65,1513.65,PlanB
1849,35,1052,396,19.8,1100.8,PlanB
1850,23,692,749,37.45,768.45,PlanB
1851,99,2975,261,13.05,3013.05,PlanB
1852,8,242,678,33.9,304.9,PlanB
1853,32,965,373,18.65,1021.65,PlanB
1854,5,152,574,28.7,182.7,PlanB
1855,27,813,703,35.15,874.15,PlanB
1856,89,2673,705,35.25,2752.25,PlanB
1857,91,2732,780,39,2801,PlanB
1858,46,1385,246,12.3,1439.3,PlanB
1859,9,272,639,31.95,342.95,PlanB
1860,8,244,623,31.15,281.15,PlanB
1861,60,1803,796,39.8,1892.8,PlanB
1862,53,1593,941,47.05,1666.05,PlanB
1863,64,1921,951,47.55,1998.55,PlanB
1864,18,543,506,25.3,611.3,PlanB
1865,19,575,760,38,635,PlanB
1866,6,184,23,1.15,207.15,PlanB
1867,23,692,304,15.2,735.2,PlanB
1868,46,1383,387,19.35,1406.35,PlanB
1869,89,2675,610,30.5,2747.5,PlanB
1870,11,333,83,4.15,350.15,PlanB
1871,85,2554,352,17.6,2589.6,PlanB
1872,92,2764,158,7.9,2819.9,PlanB
1873,39,1173,639,31.95,1235.95,PlanB
1874,61,1832,857,42.85,1918.85,PlanB
1875,13,392,823,41.15,455.15,PlanB
1876,31,931,625,31.25,970.25,PlanB
1877,52,1561,217,10.85,1603.85,PlanB
1878,42,1263,752,37.6,1325.6,PlanB
1879,76,2281,75,3.75,2301.75,PlanB
1880,39,1171,126,6.3,1184.3,PlanB
1881,57,1713,908,45.4,1792.4,PlanB
1882,90,2702,745,37.25,2785.25,PlanB
1883,98,2944,206,10.3,2996.3,PlanB
1884,38,1145,729,36.45,1210.45,PlanB
1885,4,123,662,33.1,169.1,PlanB
1886,16,484,300,15,507,PlanB
1887,46,1382,296,14.8,1400.8,PlanB
1888,92,2765,138,6.9,2810.9,PlanB
1889,8,244,143,7.15,259.15,PlanB
1890,29,872,132,6.6,925.6,PlanB
1891,47,1411,844,42.2,1487.2,PlanB
1892,76,2285,453,22.65,2357.65,PlanB
1893,21,633,765,38.25,682.25,PlanB
1894,92,2763,585,29.25,2830.25,PlanB
1895,35,1052,893,44.65,1111.65,PlanB
1896,23,693,885,44.25,749.25,PlanB
1897,57,1713,222,11.1,1744.1,PlanB
1898,27,814,762,38.1,865.1,PlanB
1899,49,1474,866,43.3,1521.3,PlanB
1900,82,2463,532,26.6,2519.6,PlanB
1901,87,2615,803,40.15,2702.15,PlanB
1902,89,2674,720,36,2743,PlanB
1903,9,271,84,4.2,316.2,PlanB
1904,98,2945,491,24.55,2977.55,PlanB
1905,60,1803,535,26.75,1860.75,PlanB
1906,24,724,294,14.7,765.7,PlanB
1907,12,365,428,21.4,432.4,PlanB
1908,53,1592,687,34.35,1676.35,PlanB
1909,96,2882,470,23.5,2914.5,PlanB
1910,49,1473,915,45.75,1553.75,PlanB
1911,33,992,40,2,995,PlanB
1912,33,992,323,16.15,1045.15,PlanB
1913,76,2282,853,42.65,2363.65,PlanB
1914,100,3005,889,44.45,3070.45,PlanB
1915,18,541,295,14.75,564.75,PlanB
1916,31,933,807,40.35,983.35,PlanB
1917,19,574,12,0.6,579.6,PlanB
1918,57,1713,680,34,1779,PlanB
1919,67,2013,182,9.1,2055.1,PlanB
1920,64,1925,735,36.75,1971.75,PlanB
1921,68,2043,882,44.1,2109.1,PlanB
1922,84,2524,298,14.9,2562.9,PlanB
1923,78,2343,934,46.7,2414.7,PlanB
1924,11,333,534,26.7,375.7,PlanB
1925,27,811,181,9.05,839.05,PlanB
1926,48,1444,586,29.3,1507.3,PlanB
1927,29,873,491,24.55,909.55,PlanB
1928,83,2492,393,19.65,2559.65,PlanB
1929,64,1923,425,21.25,1956.25,PlanB
1930,54,1625,649,32.45,1686.45,PlanB
1931,81,2435,463,23.15,2486.15,PlanB
1932,96,2885,480,24,2939,PlanB
1933,88,2643,215,10.75,2696.75,PlanB
1934,41,1231,267,13.35,1254.35,PlanB
1935,24,723,257,12.85,739.85,PlanB
1936,39,1172,862,43.1,1217.1,PlanB
1937,10,302,614,30.7,375.7,PlanB
1938,35,1052,674,33.7,1102.7,PlanB
1939,75,2251,642,32.1,2284.1,PlanB
1940,62,1863,634,31.7,1902.7,PlanB
1941,80,2405,52,2.6,2449.6,PlanB
1942,58,1743,319,15.95,1805.95,PlanB
1943,71,2134,826,41.3,2219.3,PlanB
1944,39,1172,477,23.85,1243.85,PlanB
1945,40,1205,286,14.3,1237.3,PlanB
1946,87,2612,645,32.25,2692.25,PlanB
1947,42,1263,774,38.7,1304.7,PlanB
1948,16,481,457,22.85,507.85,PlanB
1949,7,215,524,26.2,281.2,PlanB
1950,89,2675,328,16.4,2716.4,PlanB
1951,17,512,642,32.1,561.1,PlanB
1952,42,1263,34,1.7,1281.7,PlanB
1953,59,1774,66,3.3,1817.3,PlanB
1954,82,2464,688,34.4,2534.4,PlanB
1955,65,1954,350,17.5,1983.5,PlanB
1956,2,61,362,18.1,106.1,PlanB
1957,15,452,832,41.6,518.6,PlanB
1958,57,1713,81,4.05,1765.05,PlanB
1959,100,3002,157,7.85,3047.85,PlanB
1960,63,1894,601,30.05,1962.05,PlanB
1961,35,1055,478,23.9,1115.9,PlanB
1962,58,1742,442,22.1,1780.1,PlanB
1963,16,482,713,35.65,558.65,PlanB
1964,57,1714,780,39,1767,PlanB
1965,50,1505,230,11.5,1525.5,PlanB
1966,73,2195,622,31.1,2273.1,PlanB
1967,49,1474,736,36.8,1513.8,PlanB
1968,92,2763,891,44.55,2824.55,PlanB
1969,84,2524,940,47,2586,PlanB
1970,63,1895,845,42.25,1970.25,PlanB
1971,68,2042,160,8,2076,PlanB
1972,56,1683,301,15.05,1730.05,PlanB
1973,36,1084,32,1.6,1093.6,PlanB
1974,94,2822,871,43.55,2892.55,PlanB
1975,90,2702,480,24,2741,PlanB
1976,39,1173,470,23.5,1211.5,PlanB
1977,22,664,396,19.8,687.8,PlanB
1978,79,2373,307,15.35,2401.35,PlanB
1979,43,1295,849,42.45,1351.45,PlanB
1980,99,2972,80,4,2994,PlanB
1981,41,1231,575,28.75,1285.75,PlanB
1982,1,33,861,43.05,108.05,PlanB
1983,68,2041,52,2.6,2052.6,PlanB
1984,59,1774,53,2.65,1826.65,PlanB
1985,32,961,169,8.45,977.45,PlanB
1986,62,1865,355,17.75,1908.75,PlanB
1987,12,361,891,44.55,440.55,PlanB
1988,14,424,953,47.65,517.65,PlanB
1989,61,1834,356,17.8,1888.8,PlanB
1990,57,1711,756,37.8,1782.8,PlanB
1991,82,2461,888,44.4,2534.4,PlanB
1992,51,1532,796,39.8,1609.8,PlanB
1993,22,664,1,0.05,703.05,PlanB
1994,57,1712,141,7.05,1752.05,PlanB
1995,72,2164,889,44.45,2237.45,PlanB
1996,32,963,79,3.95,992.95,PlanB
1997,82,2463,840,42,2543,PlanB
1998,10,303,965,48.25,388.25,PlanB
1999,48,1444,733,36.65,1515.65,PlanB
2000,75,2253,53,2.65,2293.65,PlanB
2001,77,4621,565,169.5,4838.5,PlanC
2002,100,6002,42,12.6,6060.6,PlanC
2003,85,5104,723,216.9,5330.9,PlanC
2004,56,3364,356,106.8,3471.8,PlanC
2005,54,3244,181,54.3,3325.3,PlanC
2006,45,2704,589,176.7,2902.7,PlanC
2007,29,1741,718,215.4,1957.4,PlanC
